Real-time data - subject to revision
Copyright Environment Canada(2023)

"Real-Time Hydrometric Data for STUART RIVER NEAR FORT ST. JAMES (08JE001) [BC]"

08JE001,"STUART RIVER NEAR FORT ST. JAMES"
Description of parameters:
5,"Water temperature (No Quality Assurance)",°C

Date (PST),Parameter ,Value(°C)
2022-09-22 03:00:00,5,14.21
2022-09-22 04:00:00,5,14.05
2022-09-22 05:00:00,5,13.9
2022-09-22 06:00:00,5,13.76
2022-09-22 07:00:00,5,13.66
2022-09-22 08:00:00,5,13.57
2022-09-22 09:00:00,5,13.56
2022-09-22 10:00:00,5,13.72
2022-09-22 11:00:00,5,14.08
2022-09-22 12:00:00,5,14.48
2022-09-22 13:00:00,5,14.81
2022-09-22 14:00:00,5,15.12
2022-09-22 15:00:00,5,15.2
2022-09-22 16:00:00,5,14.98
2022-09-22 17:00:00,5,14.8
2022-09-22 18:00:00,5,14.62
2022-09-22 19:00:00,5,14.5
2022-09-22 20:00:00,5,14.37
2022-09-22 21:00:00,5,14.39
2022-09-22 22:00:00,5,14.25
2022-09-22 23:00:00,5,14.09
2022-09-23 00:00:00,5,13.98
2022-09-23 01:00:00,5,13.83
2022-09-23 02:00:00,5,13.77
2022-09-23 03:00:00,5,13.62
2022-09-23 04:00:00,5,13.56
2022-09-23 05:00:00,5,13.42
2022-09-23 06:00:00,5,13.36
2022-09-23 07:00:00,5,13.45
2022-09-23 08:00:00,5,13.49
2022-09-23 09:00:00,5,13.49
2022-09-23 10:00:00,5,13.52
2022-09-23 11:00:00,5,13.65
2022-09-23 12:00:00,5,13.85
2022-09-23 13:00:00,5,14
2022-09-23 14:00:00,5,14.06
2022-09-23 15:00:00,5,14.07
2022-09-23 16:00:00,5,14.08
2022-09-23 17:00:00,5,13.98
2022-09-23 18:00:00,5,13.78
2022-09-23 19:00:00,5,13.66
2022-09-23 20:00:00,5,13.51
2022-09-23 21:00:00,5,13.37
2022-09-23 22:00:00,5,13.28
2022-09-23 23:00:00,5,13.19
2022-09-24 00:00:00,5,13.15
2022-09-24 01:00:00,5,12.98
2022-09-24 02:00:00,5,13.03
2022-09-24 03:00:00,5,12.98
2022-09-24 04:00:00,5,12.91
2022-09-24 05:00:00,5,12.85
2022-09-24 06:00:00,5,12.73
2022-09-24 07:00:00,5,12.6
2022-09-24 08:00:00,5,12.47
2022-09-24 09:00:00,5,12.54
2022-09-24 10:00:00,5,12.78
2022-09-24 11:00:00,5,13.25
2022-09-24 12:00:00,5,13.75
2022-09-24 13:00:00,5,14.01
2022-09-24 14:00:00,5,14.42
2022-09-24 15:00:00,5,14.6
2022-09-24 16:00:00,5,14.6
2022-09-24 17:00:00,5,14.6
2022-09-24 18:00:00,5,14.66
2022-09-24 19:00:00,5,14.63
2022-09-24 20:00:00,5,14.54
2022-09-24 21:00:00,5,14.42
2022-09-24 22:00:00,5,14.23
2022-09-24 23:00:00,5,14.11
2022-09-25 00:00:00,5,13.98
2022-09-25 01:00:00,5,13.92
2022-09-25 02:00:00,5,13.93
2022-09-25 03:00:00,5,13.9
2022-09-25 04:00:00,5,13.89
2022-09-25 05:00:00,5,13.88
2022-09-25 06:00:00,5,13.83
2022-09-25 07:00:00,5,13.82
2022-09-25 08:00:00,5,13.82
2022-09-25 09:00:00,5,13.82
2022-09-25 10:00:00,5,13.95
2022-09-25 11:00:00,5,14.15
2022-09-25 12:00:00,5,14.45
2022-09-25 13:00:00,5,14.75
2022-09-25 14:00:00,5,14.94
2022-09-25 15:00:00,5,15.01
2022-09-25 16:00:00,5,15.05
2022-09-25 17:00:00,5,15.01
2022-09-25 18:00:00,5,14.95
2022-09-25 19:00:00,5,14.84
2022-09-25 20:00:00,5,14.81
2022-09-25 21:00:00,5,14.74
2022-09-25 22:00:00,5,14.63
2022-09-25 23:00:00,5,14.49
2022-09-26 00:00:00,5,14.44
2022-09-26 01:00:00,5,14.33
2022-09-26 02:00:00,5,14.26
2022-09-26 03:00:00,5,14.15
2022-09-26 04:00:00,5,14.06
2022-09-26 05:00:00,5,13.93
2022-09-26 06:00:00,5,13.86
2022-09-26 07:00:00,5,13.81
2022-09-26 08:00:00,5,13.79
2022-09-26 09:00:00,5,13.85
2022-09-26 10:00:00,5,13.97
2022-09-26 11:00:00,5,14.08
2022-09-26 12:00:00,5,14.32
2022-09-26 13:00:00,5,14.78
2022-09-26 14:00:00,5,15.26
2022-09-26 15:00:00,5,15.51
2022-09-26 16:00:00,5,15.82
2022-09-26 17:00:00,5,15.85
2022-09-26 18:00:00,5,15.77
